age,income,dti,utilization,num_delinq,employment_years,default
44.0,46402.0,0.231,0.6,1,3.7,0
28.0,55833.0,0.225,0.694,0,5.0,1
49.0,29133.0,0.052,0.718,0,10.8,0
51.0,27068.0,0.224,0.032,0,5.0,1
18.0,59347.0,0.413,0.427,0,12.1,1
24.0,37090.0,0.178,0.356,0,7.8,0
42.0,26206.0,0.517,0.135,0,1.7,1
36.0,87787.0,0.182,0.123,1,6.4,1
40.0,39502.0,0.421,0.798,0,3.7,0
30.0,96269.0,0.327,0.269,1,11.3,1
51.0,54953.0,0.333,0.121,1,3.2,0
49.0,62779.0,0.125,0.509,0,2.5,0
41.0,48740.0,0.066,0.02,0,6.9,0
54.0,14363.0,0.502,0.154,0,5.3,0
46.0,30687.0,0.597,0.44,1,3.8,1
30.0,50876.0,0.237,0.349,0,3.7,1
44.0,65014.0,0.163,0.577,1,2.4,0
28.0,22140.0,0.338,0.289,0,1.4,1
51.0,52744.0,0.306,0.305,2,2.6,1
39.0,30911.0,0.479,0.286,0,4.4,1
38.0,60920.0,0.113,0.557,0,18.5,0
32.0,53653.0,0.244,0.444,1,4.8,1
55.0,78570.0,0.204,0.597,0,13.9,0
38.0,92357.0,0.047,0.653,0,2.2,1
35.0,68152.0,0.087,0.139,0,7.7,1
36.0,83299.0,0.153,0.379,0,5.3,1
46.0,45471.0,0.415,0.311,1,9.7,1
44.0,222250.0,0.225,0.293,0,3.0,0
45.0,29454.0,0.378,0.622,0,3.5,1
45.0,41611.0,0.28,0.291,1,3.2,0
66.0,85023.0,0.485,0.198,1,7.1,1
35.0,78933.0,0.013,0.388,0,5.4,1
34.0,69127.0,0.101,0.936,0,2.2,0
30.0,75937.0,0.443,0.743,0,6.7,1
47.0,19115.0,0.254,0.042,1,6.1,1
54.0,119928.0,0.349,0.673,0,4.3,0
39.0,48926.0,0.262,0.852,1,4.4,1
30.0,101007.0,0.337,0.201,0,2.9,0
30.0,19599.0,0.323,0.512,0,1.5,1
48.0,61592.0,0.328,0.117,0,9.8,0
49.0,40874.0,0.118,0.435,0,5.3,0
47.0,72118.0,0.074,0.338,2,7.6,0
32.0,63483.0,0.09,0.436,0,7.6,0
43.0,65057.0,0.405,0.908,0,4.3,1
41.0,31905.0,0.414,0.335,0,0.1,1
43.0,52655.0,0.489,0.186,0,0.6,0
50.0,49509.0,0.224,0.565,1,1.8,1
43.0,69401.0,0.392,0.382,0,10.8,1
48.0,88845.0,0.642,0.269,0,6.2,1
41.0,58410.0,0.548,0.569,0,4.5,1
43.0,28622.0,0.148,0.348,0,7.6,0
48.0,57170.0,0.17,0.482,0,7.0,1
23.0,199893.0,0.188,0.151,0,3.4,1
36.0,123377.0,0.094,0.789,1,6.3,1
34.0,12244.0,0.228,0.445,1,8.5,1
32.0,55920.0,0.183,0.216,0,9.1,1
37.0,86341.0,0.169,0.772,0,2.9,0
58.0,49456.0,0.669,0.262,1,2.5,1
30.0,43043.0,0.209,0.205,1,7.7,1
52.0,47407.0,0.627,0.608,0,15.3,1
20.0,71403.0,0.273,0.148,0,1.3,0
36.0,30509.0,0.29,0.152,0,3.2,1
42.0,98159.0,0.3,0.655,0,13.2,1
47.0,52681.0,0.238,0.266,0,11.4,0
49.0,33945.0,0.15,0.239,0,8.5,0
50.0,95052.0,0.143,0.177,2,3.9,1
36.0,25020.0,0.13,0.208,0,15.8,1
34.0,41044.0,0.545,0.115,0,6.6,1
50.0,40707.0,0.133,0.633,1,4.4,1
38.0,158256.0,0.517,0.356,0,13.1,1
25.0,38464.0,0.493,0.49,1,6.2,1
26.0,18444.0,0.298,0.314,0,8.1,1
29.0,40501.0,0.115,0.303,0,6.3,1
46.0,68035.0,0.16,0.644,1,9.8,1
42.0,80181.0,0.208,0.281,0,4.7,1
48.0,169104.0,0.378,0.623,1,10.0,1
35.0,109475.0,0.35,0.366,1,5.6,1
42.0,59514.0,0.031,0.753,1,12.7,1
48.0,34693.0,0.194,0.304,2,3.2,1
36.0,122029.0,0.179,0.375,0,6.4,0
45.0,45059.0,0.175,0.22,0,7.4,0
32.0,38985.0,0.462,0.526,0,10.4,1
36.0,43979.0,0.249,0.706,2,5.3,1
35.0,28965.0,0.085,0.919,1,4.0,1
26.0,42937.0,0.384,0.619,1,6.7,1
46.0,48216.0,0.243,0.338,0,9.5,1
34.0,78067.0,0.487,0.572,1,6.8,1
40.0,44621.0,0.301,0.588,0,2.5,1
46.0,28746.0,0.267,0.494,1,11.0,1
45.0,24297.0,0.13,0.342,0,5.8,0
48.0,60161.0,0.451,0.838,1,4.6,1
39.0,56180.0,0.324,0.239,0,6.7,0
35.0,41062.0,0.198,0.255,2,6.8,1
39.0,42885.0,0.287,0.433,0,6.4,1
20.0,65791.0,0.029,0.723,0,6.0,1
23.0,108583.0,0.22,0.292,1,3.4,1
24.0,36678.0,0.376,0.357,0,5.6,1
28.0,56639.0,0.283,0.548,2,3.8,0
45.0,87477.0,0.283,0.314,0,5.2,1
29.0,36752.0,0.314,0.834,2,9.2,1
35.0,53755.0,0.388,0.186,0,6.0,0
56.0,53157.0,0.321,0.365,0,2.3,1
36.0,28123.0,0.303,0.217,1,4.3,1
49.0,58938.0,0.241,0.939,0,9.0,0
29.0,55038.0,0.173,0.835,0,7.0,1
38.0,71506.0,0.47,0.41,0,4.0,1
29.0,29928.0,0.209,0.211,0,0.3,0
36.0,54447.0,0.145,0.216,0,8.1,1
50.0,108106.0,0.173,0.369,0,10.9,0
19.0,153085.0,0.144,0.667,0,5.6,0
45.0,102751.0,0.261,0.179,0,4.0,0
43.0,30075.0,0.124,0.505,1,4.1,0
33.0,67882.0,0.228,0.357,0,13.9,0
23.0,42550.0,0.486,0.616,2,4.6,1
41.0,62439.0,0.304,0.501,1,7.4,1
34.0,36824.0,0.243,0.606,1,1.8,0
43.0,23000.0,0.066,0.087,1,6.8,1
40.0,45604.0,0.286,0.412,0,12.0,1
59.0,77754.0,0.017,0.184,2,4.8,1
37.0,62567.0,0.388,0.309,1,2.4,1
28.0,66269.0,0.054,0.601,0,8.8,0
42.0,60366.0,0.055,0.435,1,9.9,0
43.0,66321.0,0.312,0.25,0,7.0,1
56.0,70598.0,0.248,0.338,0,1.6,1
50.0,47224.0,0.414,0.611,1,2.1,1
44.0,56469.0,0.397,0.408,0,0.5,1
58.0,129525.0,0.042,0.564,1,7.5,1
26.0,58164.0,0.247,0.426,0,7.3,1
32.0,55342.0,0.163,0.668,0,6.4,1
29.0,57036.0,0.237,0.049,0,4.7,1
35.0,48584.0,0.186,0.229,1,8.0,1
23.0,43579.0,0.269,0.326,1,3.0,1
48.0,60135.0,0.619,0.646,0,11.1,1
37.0,42072.0,0.296,0.614,0,4.2,1
22.0,50375.0,0.044,0.291,2,4.3,1
28.0,36488.0,0.073,0.498,0,3.7,0
44.0,57183.0,0.069,0.452,0,8.1,0
50.0,72555.0,0.269,0.058,1,12.2,1
64.0,48730.0,0.136,0.568,0,7.4,1
75.0,19847.0,0.239,0.178,0,3.6,1
45.0,72779.0,0.347,0.025,1,2.6,0
28.0,57532.0,0.137,0.245,0,7.4,1
18.0,32971.0,0.211,0.677,0,2.3,1
43.0,79749.0,0.074,0.669,0,6.3,0
30.0,26924.0,0.073,0.495,0,4.2,0
